"Pilchard 11, Namibia, June 99, CL=189"
"total fish length mm =" 189
"fish mass g =" 99
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         189
      143.000      15.3928     -15.6671      21.2265
      144.000      15.2420     -15.3095      20.7657
      145.000      15.1358     -14.9072      20.4413
      146.000      15.0576     -14.4825      20.2077
      147.000      14.9738     -14.0411      20.0130
      148.000      14.8844     -13.5606      19.8507
      149.000      14.7782     -13.0745      19.7534
      150.000      14.6553     -12.6331      19.6820
      151.000      14.5324     -12.2588      19.5393
      152.000      14.4095     -11.9850      19.3186
      153.000      14.3033     -11.7950      19.0655
      154.000      14.1972     -11.6051      18.8060
      155.000      14.0742     -11.3536      18.5334
      156.000      13.9457     -11.0631      18.2479
      157.000      13.7949     -10.7893      17.9364
      158.000      13.6328     -10.5100      17.5665
      159.000      13.4485     -10.2138      17.1901
      160.000      13.2361     -9.92330      16.8722
      161.000      13.0294     -9.63275      16.5607
      162.000      12.8227     -9.34221      16.1973
      163.000      12.6495     -9.02932      15.7820
      164.000      12.5210     -8.69409      15.3147
      165.000      12.3757     -8.31415      14.8215
      166.000      12.2304     -7.80570      14.3284
      167.000      12.1075     -7.17433      13.8806
      168.000      11.9622     -6.54297      13.5302
      169.000      11.7946     -6.01776      13.2382
      170.000      11.6046     -5.62106      12.9267
      171.000      11.3923     -5.30258      12.5892
      172.000      11.1800     -4.98411      12.2777
      173.000      10.9733     -4.69356      11.9598
      174.000      10.7889     -4.53153      11.5834
      175.000      10.5989     -4.49242      11.1616
      176.000      10.3866     -4.44772      10.6749
      177.000      10.1966     -4.33598      10.1168
      178.000      10.0290     -4.24658      9.52628
      179.000      9.86140     -4.20747      8.83842
      180.000      9.69378     -4.19071      8.05322
      181.000      9.52616     -4.22982      7.33939
      182.000      9.40324     -4.35274      6.68397
      183.000      9.38648     -4.55947      6.00260
      184.000      9.43117     -4.78855      5.28877
      185.000      9.45352     -4.96176      4.49708
      186.000      9.45352     -5.05115      3.73134
      187.000      9.39206     -4.98969      3.09539
      188.000      7.41507     -3.18965      2.01817
      189.000      1.76466      1.76466     0.000000
"swimbladder chamber 1"
          78
      50.0000     -2.92953     -2.92953     0.000000
      51.0000     -2.51637     -3.86795      1.70725
      52.0000     -2.48099     -4.66430      2.75787
      53.0000     -2.63694     -5.24911      3.29959
      54.0000     -2.80588     -5.74296      3.70999
      55.0000     -2.96183     -6.14583      4.02189
      56.0000     -3.09179     -6.43174      4.21888
      57.0000     -3.15677     -6.63967      4.39945
      58.0000     -3.18276     -6.78263      4.54720
      59.0000     -3.23475     -6.84761      4.56361
      60.0000     -3.33871     -6.86060      4.44870
      61.0000     -3.46867     -6.86060      4.28454
      62.0000     -3.55964     -6.84761      4.15321
      63.0000     -3.59863     -6.80862      4.05472
      64.0000     -3.62462     -6.76963      3.97264
      65.0000     -3.65062     -6.76963      3.93981
      66.0000     -3.68960     -6.80862      3.93981
      67.0000     -3.75458     -6.86060      3.92339
      68.0000     -3.84555     -6.91259      3.87414
      69.0000     -3.93653     -6.96457      3.82490
      70.0000     -3.98851     -7.01655      3.82490
      71.0000     -4.00151     -7.06854      3.87415
      72.0000     -4.01450     -7.10752      3.90698
      73.0000     -4.06649     -7.12052      3.85773
      74.0000     -4.14446     -7.13352      3.77565
      75.0000     -4.20944     -7.17251      3.74282
      76.0000     -4.26142     -7.22449      3.74282
      77.0000     -4.31341     -7.28947      3.75923
      78.0000     -4.36539     -7.38044      3.80848
      79.0000     -4.40438     -7.48441      3.89056
      80.0000     -4.44337     -7.60137      3.98906
      81.0000     -4.50835     -7.75732      4.10397
      82.0000     -4.58632     -7.93926      4.23529
      83.0000     -4.66430     -8.12120      4.36662
      84.0000     -4.72928     -8.30315      4.51436
      85.0000     -4.79425     -8.47209      4.64569
      86.0000     -4.88523     -8.64104      4.74419
      87.0000     -4.98919     -8.81973      4.84268
      88.0000     -5.11590     -8.98218      4.89193
      89.0000     -5.26536     -9.13488      4.89193
      90.0000     -5.39207     -9.27784      4.90835
      91.0000     -5.49603     -9.38181      4.90834
      92.0000     -5.60000     -9.45978      4.87551
      93.0000     -5.69097     -9.53776      4.85910
      94.0000     -5.76895     -9.60274      4.84268
      95.0000     -5.84692     -9.64172      4.79343
      96.0000     -5.92490     -9.66772      4.72777
      97.0000     -6.01587     -9.70670      4.66211
      98.0000     -6.11984     -9.75869      4.59644
      99.0000     -6.22380     -9.81067      4.53078
      100.000     -6.32777     -9.87565      4.48153
      101.000     -6.41874     -9.96662      4.48153
      102.000     -6.50971     -10.0836      4.51436
      103.000     -6.63967     -10.2395      4.54720
      104.000     -6.78263     -10.4215      4.59644
      105.000     -6.89959     -10.6034      4.67852
      106.000     -6.99056     -10.7854      4.79343
      107.000     -7.04254     -10.9673      4.95759
      108.000     -7.06854     -11.1622      5.17100
      109.000     -7.09453     -11.3702      5.40082
      110.000     -7.12052     -11.5781      5.63064
      111.000     -7.15951     -11.7731      5.82763
      112.000     -7.21149     -11.9160      5.94254
      113.000     -7.27647     -11.9810      5.94254
      114.000     -7.35445     -11.9810      5.84405
      115.000     -7.40643     -11.9030      5.67989
      116.000     -7.41943     -11.7211      5.43365
      117.000     -7.41943     -11.5001      5.15458
      118.000     -7.41943     -11.2922      4.89193
      119.000     -7.43242     -11.0713      4.59644
      120.000     -7.45841     -10.8373      4.26812
      121.000     -7.48441     -10.5904      3.92339
      122.000     -7.52339     -10.3305      3.54583
      123.000     -7.57538     -10.0706      3.15185
      124.000     -7.62736     -9.79768      2.74145
      125.000     -7.66635     -9.47278      2.28181
      126.000     -7.69234     -9.08290      1.75650
      127.000     -7.81739     -8.63613      1.03420
      128.000     -8.15641     -8.15641     0.000000
"Horne and Jech x-ray, thawed, inflated"
